identifier,commonName,description,website,foundingDate,parentOrganization
pivot,Apache Pivot,Rich Internet applications in Java,http://pivot.apache.org/,12/2009,asf
plc4x,Apache PLC4X,a set of libraries for communicating with industrial programmable logic controllers (PLCs) using a variety of protocols but with a shared API,http://plc4x.apache.org/,04/2019,asf
poi,Apache POI,Java API for OLE 2 Compound and OOXML Documents,http://poi.apache.org/,05/2007,asf
apr,Apache Portable Runtime (APR),Apache Portable Runtime libraries,http://apr.apache.org/,"12/2000, reestablished 10/2002",asf
portals,Apache Portals,Portal technology,http://portals.apache.org/,02/2004,asf
pulsar,Apache Pulsar,"highly scalable, low latency messaging platform running on commodity hardware",http://pulsar.apache.org/,09/2018,asf
qpid,Apache Qpid,Multiple language implementation of the latest Advanced Message Queuing Protocol (AMQP),http://qpid.apache.org/,11/2008,asf
ranger,Apache Ranger,"framework to enable, monitor and manage comprehensive data security across the Hadoop platform.",http://ranger.apache.org/,01/2017,asf
ratis,Apache Ratis,a highly customizable Raft protocol implementation in Java,http://ratis.apache.org,02/2021,asf
rocketmq,Apache RocketMQ,"a fast, low latency, reliable, scalable, distributed, easy to use message-oriented middleware, especially for processing large amounts of streaming data",http://rocketmq.apache.org/,09/2017,asf
roller,Apache Roller,Java blog server,http://roller.apache.org/,02/2007,asf
royale,Apache Royale,improving developer productivity in creating applications for wherever Javascript runs (and other runtimes),http://royale.apache.org/,09/2017,asf
rya,Apache Rya,"scalable storage, retrieval, and analysis of RDF data",http://rya.apache.org/,09/2019,asf
samza,Apache Samza,distributed stream processing framework,http://samza.apache.org/,01/2015,asf
santuario,Apache Santuario,XML Security in Java and C++,http://santuario.apache.org/,06/2006,asf
sedona,Apache Sedona,"a big geospatial data processing engine. It provides an easy to use APIs for spatial data scientists to manage, wrangle, and process geospatial data",http://sedona.apache.org,12/2022,asf
serf,Apache Serf,High performance C-based HTTP client library built upon the Apache Portable Runtime (APR) library,http://serf.apache.org/,08/2015,asf
servicecomb,Apache ServiceComb,a microservice framework that provides a set of tools and components to make development and deployment of cloud applications easier.,http://servicecomb.apache.org/,10/2018,asf
servicemix,Apache ServiceMix,Enterprise Service Bus,http://servicemix.apache.org/,09/2007,asf
